,Image,DAPI,,Image,ISLET1_coloc,,Image,BRN3A_coloc,,Image,Triple_Coloc
1,C1-Example-Image1.tif,15,1,Result of C1-Example-Image1.tif,3,1,Result of C1-Example-Image1.tif,0,1,Result of DAPI_ISLET1_Coloc-Example-Image1.tif,0
,,,
,Image,DAPI,,Image,ISLET1_coloc,,Image,BRN3A_coloc,,Image,Triple_Coloc
1,C1-Example-Image2.tif,8,1,Result of C1-Example-Image2.tif,2,1,Result of C1-Example-Image2.tif,0,1,Result of DAPI_ISLET1_Coloc-Example-Image2.tif,0
,,,
,Image,DAPI,,Image,ISLET1_coloc,,Image,BRN3A_coloc,,Image,Triple_Coloc
1,C1-Example-Image3.tif,10,1,Result of C1-Example-Image3.tif,9,1,Result of C1-Example-Image3.tif,7,1,Result of DAPI_ISLET1_Coloc-Example-Image3.tif,6
,,,
,Image,DAPI,,Image,ISLET1_coloc,,Image,BRN3A_coloc,,Image,Triple_Coloc
1,C1-Example-Image4.tif,7,1,Result of C1-Example-Image4.tif,5,1,Result of C1-Example-Image4.tif,0,1,Result of DAPI_ISLET1_Coloc-Example-Image4.tif,0
,,,
