 ,Image,ISLET1_coloc
1,Result of C1-Example-Image1.tif,3

 ,Image,ISLET1_coloc
1,Result of C1-Example-Image2.tif,2

 ,Image,ISLET1_coloc
1,Result of C1-Example-Image3.tif,9

 ,Image,ISLET1_coloc
1,Result of C1-Example-Image4.tif,5

